Date,Open,High,Low,Close,Adj Close,Volume,Days 
2022-05-12,1714.060059,1752.550049,1701.150024,1739.380005,1739.380005,6286450000,63
2022-05-13,1748.23999,1804.380005,1748.23999,1792.670044,1792.670044,5183340000,64
2022-05-16,1790.609985,1802.630005,1778.670044,1783.430054,1783.430054,4415030000,65
2022-05-17,1796.359985,1840.300049,1796.359985,1840.300049,1840.300049,4841410000,66
2022-05-18,1834.150024,1834.150024,1765.25,1774.849976,1774.849976,5103220000,67
2022-05-19,1769.839966,1797.22998,1759.660034,1776.219971,1776.219971,5113550000,68
2022-05-20,1784.079956,1797.439941,1730.880005,1773.27002,1773.27002,5130730000,69
2022-05-23,1786.430054,1799.27002,1769.119995,1792.76001,1792.76001,4420030000,70
2022-05-24,1780.199951,1780.199951,1736.109985,1764.829956,1764.829956,4923190000,71
2022-05-25,1760.420044,1807.430054,1759.199951,1799.160034,1799.160034,4802560000,72
2022-05-26,1808.640015,1847.829956,1808.640015,1838.23999,1838.23999,4709970000,73
2022-05-27,1845.23999,1887.900024,1845.23999,1887.900024,1887.900024,4375620000,74
2022-05-31,1882,1883.189941,1856.560059,1864.040039,1864.040039,6822640000,75
2022-06-01,1871.459961,1877.48999,1830.199951,1854.819946,1854.819946,4531800000,76
2022-06-02,1855.349976,1897.670044,1854.51001,1897.670044,1897.670044,4405790000,77
2022-06-03,1886.609985,1889.449951,1872.22998,1883.050049,1883.050049,3711110000,78
2022-06-06,1893.449951,1903.51001,1881.72998,1889.890015,1889.890015,4332700000,79
2022-06-07,1879.77002,1919.72998,1870.939941,1919.560059,1919.560059,4248210000,80
2022-06-08,1913.969971,1916.079956,1883.26001,1891.01001,1891.01001,4159470000,81
2022-06-09,1884.959961,1884.959961,1850.670044,1850.859985,1850.859985,4134170000,82
2022-06-10,1833.150024,1833.150024,1792.599976,1800.280029,1800.280029,4889640000,83
2022-06-13,1770.5,1770.5,1708.26001,1714.589966,1714.589966,5636890000,84
2022-06-14,1717.329956,1723.189941,1692.319946,1707.829956,1707.829956,5153890000,85
2022-06-15,1718.150024,1751.5,1704.420044,1731.140015,1731.140015,5530480000,86
2022-06-16,1707.849976,1707.849976,1641.469971,1649.839966,1649.839966,5644930000,87
2022-06-17,1657.01001,1684.550049,1652.02002,1665.689941,1665.689941,8520740000,88
2022-06-21,1681.099976,1711.73999,1681.099976,1694.030029,1694.030029,5292260000,89
2022-06-22,1678.51001,1703.380005,1665.540039,1690.280029,1690.280029,5058990000,90
2022-06-23,1693.27002,1714.040039,1680.550049,1711.670044,1711.670044,5098640000,91
2022-06-24,1720.040039,1765.73999,1720.040039,1765.73999,1765.73999,8120260000,92
2022-06-27,1772.890015,1781.459961,1758.310059,1771.73999,1771.73999,4325310000,93
2022-06-28,1778.619995,1792.579956,1738.810059,1738.839966,1738.839966,4270120000,94
2022-06-29,1737.829956,1737.829956,1703.800049,1719.369995,1719.369995,4211240000,95
2022-06-30,1706.47998,1722.089966,1680.400024,1707.98999,1707.98999,4840070000,96
2022-07-01,1705.069946,1728.910034,1690.910034,1727.76001,1727.76001,4046950000,97
2022-07-05,1714.859985,1741.339966,1681.579956,1741.329956,1741.329956,5076590000,98
2022-07-06,1738.689941,1747.930054,1712.160034,1727.550049,1727.550049,4417720000,99
2022-07-07,1736.01001,1772.300049,1736.01001,1769.599976,1769.599976,4057770000,100
2022-07-08,1767.579956,1780.130005,1752.939941,1769.359985,1769.359985,3521620000,101
2022-07-11,1765.599976,1765.599976,1729.650024,1732.01001,1732.01001,3423480000,102
2022-07-12,1728.52002,1743.170044,1719.23999,1728.180054,1728.180054,3817210000,103
2022-07-13,1715.469971,1732.599976,1700.939941,1726.040039,1726.040039,4109390000,104
2022-07-14,1712.290039,1712.290039,1684.849976,1707.51001,1707.51001,4199690000,105
2022-07-15,1724.099976,1744.369995,1708.900024,1744.369995,1744.369995,4143800000,106
2022-07-18,1758.900024,1772.800049,1734.219971,1738.420044,1738.420044,4046870000,107
2022-07-19,1754.72998,1800.01001,1754.72998,1799.319946,1799.319946,4041070000,108
2022-07-20,1797.949951,1829.910034,1797.949951,1827.949951,1827.949951,4185300000,109
2022-07-21,1819.77002,1836.689941,1804.97998,1836.689941,1836.689941,4132790000,110
2022-07-22,1839.359985,1842.199951,1795.290039,1806.880005,1806.880005,3979240000,111
2022-07-25,1810.949951,1819.099976,1798.819946,1817.77002,1817.77002,3568340000,112
2022-07-26,1812.5,1812.5,1800.290039,1805.25,1805.25,3778950000,113
2022-07-27,1814.280029,1852.859985,1814.140015,1848.339966,1848.339966,4112180000,114
2022-07-28,1854.180054,1873.73999,1832.77002,1873.030029,1873.030029,4413000000,115
